Stardew Valley,165.000,2.0,256 mb video memory, shader model 3.0+,0.48828125,RPG Simulation Pixel Graphics Agriculture Crafting Relaxing Sandbox Indie Singleplayer Building Multiplayer Casual Great Soundtrack Open World 2D Cute Dating Sim Fishing Atmospheric Retro,26 Feb, 2016,95725,97
Epic Battle Fantasy 5,165.000,2.0,Doesn't matter much,0.29296875,RPG Adventure Strategy Turn-Based Funny Comedy Indie Parody Great Soundtrack Singleplayer 2D Anime,30 Nov, 2018,292,98
RimWorld,280.000,4.0,Intel HD Graphics 3000 with 384 MB of RAM,0.48828125,Base Building Survival Strategy Sandbox Building Management Simulation Singleplayer Open World Sci-fi Crafting 2D Moddable Indie Early Access Space Atmospheric Great Soundtrack Action Pixel Graphics,17 Oct, 2018,28021,97
ARK: Survival Evolved,390.000,8.0,NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better,60.0,Survival Open World Dinosaurs Multiplayer Crafting Building Adventure Base Building Co-op Action First-Person Early Access Sandbox Massively Multiplayer Singleplayer Dragons RPG Sci-fi MMORPG Indie,27 Aug, 2017,,0
Divinity: Original Sin 2 - Definitive Edition,350.000,4.0,NVIDIA® GeForce® GTX 550 or ATI™ Radeon™ HD 6XXX or higher,60.0,RPG Turn-Based Co-op Story Rich Fantasy Open World Character Customization Adventure Strategy Turn-Based Combat Singleplayer Multiplayer CRPG Great Soundtrack Atmospheric Turn-Based Tactics Isometric Party-Based RPG Indie Female Protagonist,14 Sep, 2017,36372,94
Thief Simulator,188.000,8.0,NVidia GeForce GTX 750,5.0,Simulation Adventure Stealth Action Indie Crime Open World First-Person Singleplayer Sandbox Funny Strategy Realistic Multiplayer,9 Nov, 2018,1248,81
NBA 2K19,984.000,4.0,NVIDIA® GeForce® GT 450 1GB / AMD® Radeon™ HD 7770 1GB or better,80.0,Sports Basketball Simulation Memes Multiplayer Psychological Horror Dating Sim Nudity,10 Sep, 2018,,0
World of Warships,0,2.0,nVidia GeForce 8800GT/9600GT, IntelHD 4000, NVIDIA GeForce 620M, AMD Radeon HD 4650,35.0,Free to Play Naval World War II Multiplayer PvP Massively Multiplayer Action Online Co-Op Simulation Strategy Shooter Team-Based Tactical War Realistic Anime Military Singleplayer Co-op Arcade,15 Nov, 2017,9967,73
Paladins®,0,4.0,Nvidia GeForce 8800 GT,30.0,Free to Play Multiplayer FPS Shooter Action Team-Based First-Person MOBA PvP Online Co-Op Early Access Fantasy Strategy Co-op Massively Multiplayer Funny Adventure Survival Anime Memes,8 May, 2018,192830,84
Thronebreaker: The Witcher Tales,250.000,4.0,NVIDIA GeForce GT 730 | Radeon R7 240,8.0,Adventure RPG Card Game Story Rich Female Protagonist Singleplayer Isometric Great Soundtrack Strategy Choices Matter Fantasy Open World,9 Nov, 2018,1471,90
Shadowverse CCG,0,4.0,GeForce GT 640/Radeon HD 5770,2.0,Free to Play Card Game Anime Strategy Trading Card Game Fantasy Multiplayer Sexual Content Nudity Turn-Based Competitive Casual JRPG Singleplayer Adventure,27 Oct, 2016,7124,74
Garry's Mod,120.000,4.0,512MB dedicated VRAM or better,5.0,Sandbox Multiplayer Funny Moddable Building Co-op Comedy First-Person Mod Simulation Online Co-Op FPS Physics Singleplayer Action Indie Shooter Animation & Modeling Adventure Massively Multiplayer,29 Nov, 2006,295831,95
Save 10% on Thea 2: The Shattering,283.500,8.0,DirectX 11 class GPU with 2GB VRAM,10.0,Early Access Survival Strategy Indie RPG Dark Fantasy 4X Turn-Based Strategy Fantasy Co-op Rogue-lite Rogue-like Turn-Based Crafting Card Game Early Access Story Rich Sexual Content Online Co-Op Nudity,30 Nov, 2018,103,81
